verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΛΕΤΤΑ	1	ΛΕΠΤΑ	9	9.0	True	high
one-known	ΓΕΩΠΟΝΕΣ	1	ΓΕΩΠΟΝΟΣ	8	8.0	True	high
one-known	ΤΟΣΣΕΡΙΣ	1	ΤΕΣΣΕΡΙΣ	8	8.0	True	high
one-known	ΑΕΙΩΜΑΤΙΚΟΣ	1	ΑΞΙΩΜΑΤΙΚΟΣ	8	8.0	True	high
one-known	ΜΑΒΙΚΑ	1	ΜΑΡΙΚΑ	8	8.0	True	high
one-known	ΧΘΡΟΙ	1	ΧΩΡΟΙ	8	8.0	True	high
one-known	ΑΝΑΚΩΡΗΣΕΙΣ	1	ΑΝΑΧΩΡΗΣΕΙΣ	8	8.0	True	high
one-known	ΤΟΥΡΟΥ	1	ΤΟΥΤΟΥ	8	8.0	True	high
one-known	ΣΤΕΡΓΙΚΗ	1	ΣΤΟΡΓΙΚΗ	8	8.0	True	high
one-known	ΦΥΣΙΑ	1	ΘΥΣΙΑ	8	8.0	True	high
one-known	ΦΑΡΡΟΣ	2	ΘΑΡΡΟΣ	14	7.0	True	high
one-known	ΑΜΑΕΙ	1	ΑΜΑΞΙ	7	7.0	True	high
one-known	ΒΕΡΕΙΟΥΣ	1	ΒΟΡΕΙΟΥΣ	7	7.0	True	high
one-known	ΚΑΤΟΡΙΝΑ	1	ΚΑΤΕΡΙΝΑ	7	7.0	True	high
one-known	ΑΜΑΔΙΑ	1	ΑΜΑΛΙΑ	7	7.0	True	high
one-known	ΕΡΓΟΛΑΘΟΣ	1	ΕΡΓΟΛΑΒΟΣ	7	7.0	True	high
one-known	ΑΡΘΑΝΙΤΗΣ	2	ΑΡΒΑΝΙΤΗΣ	13	6.5	True	high
one-known	ΕΠΑΣΙΑ	2	ΕΠΑΞΙΑ	12	6.0	True	high
one-known	ΑΓΧΗΣ	1	ΑΡΧΗΣ	6	6.0	True	high
one-known	ΣΟΥΜΕ	1	ΖΟΥΜΕ	6	6.0	True	high
one-known	ΟΡΚΟΝ	1	ΟΙΚΟΝ	6	6.0	True	high
one-known	ΘΟΡΤΗΓΟ	1	ΦΟΡΤΗΓΟ	6	6.0	True	high
one-known	ΠΑΝΤΑΣΗΣ	1	ΠΑΝΤΑΖΗΣ	6	6.0	True	high
one-known	ΠΑΝΤΑΞΗΣ	1	ΠΑΝΤΑΖΗΣ	6	6.0	True	high
one-known	ΜΑΥΡΟΣΙΔΗ	1	ΜΑΥΡΟΕΙΔΗ	6	6.0	True	high
one-known	ΧΘΡΟΙ	1	ΧΟΡΟΙ	6	6.0	True	high
one-known	ΓΡΑΦΟ	1	ΓΡΑΦΕ	6	6.0	True	high
one-known	ΜΕΛΑΩΝ	1	ΜΟΛΑΩΝ	6	6.0	True	high
one-known	ΚΕΖΑΝΗΣ	1	ΚΟΖΑΝΗΣ	6	6.0	True	high
one-known	ΣΥΝΟΔΟΝ	1	ΣΥΝΟΛΟΝ	6	6.0	True	high
one-known	ΚΑΤΟΧ	1	ΚΑΤΟΥ	6	6.0	True	high
one-known	ΚΙΩΤΗ	1	ΧΙΩΤΗ	6	6.0	True	high
one-known	ΓΕΤΟΣ	1	ΓΕΡΟΣ	6	6.0	True	high
one-known	ΔΑΚΕΔΑΙΜΟΝΙΩΝ	4	ΛΑΚΕΔΑΙΜΟΝΙΩΝ	23	5.8	True	high
one-known	ΑΟΥΛΟ	3	ΑΣΥΛΟ	16	5.3	True	high
one-known	ΜΙΚΟΥ	4	ΝΙΚΟΥ	20	5.0	True	high
one-known	ΜΕΡΦΗΣ	4	ΜΟΡΦΗΣ	20	5.0	True	high
one-known	ΚΑΛΛΙΟΝΗΣ	1	ΚΑΛΛΙΟΠΗΣ	5	5.0	True	high
one-known	ΚΑΡΕΙ	1	ΚΑΙΕΙ	5	5.0	True	high
one-known	ΣΚΟΠΑΣΕ	1	ΣΚΕΠΑΣΕ	5	5.0	True	high
one-known	ΑΙΓΙΕΣ	1	ΑΙΤΙΕΣ	5	5.0	True	high
