suspect	candidate	pages	second_saw_suspect	second_saw_candidate	verdict	prior_confidence
ΝΔΕΧΟΜΕΝΕΣ	ΝΔΕΧΟΜΕΝΟΣ	0162a	1	1	both-seen	low
ΓΕΩΡΓΙΤΣΙΔΝΩΝ	ΓΕΩΡΓΙΤΣΙΑΝΩΝ		0	0	unseen	medium
ΤΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ		0	0	unseen	medium
ΓΕΛΛΑΝΑ	ΠΕΛΛΑΝΑ	0118a	0	0	unseen	medium
ΠΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ		0	0	unseen	medium
ΓΙΟΥΖΟΥΛΗ	ΓΚΟΥΖΟΥΛΗ	0098a	0	0	unseen	medium
ΤΣΙΧΑΗΣ	ΤΣΙΧΛΗΣ	0023b	0	0	unseen	medium
ΠΙΑΝΝΑΡΗ	ΓΙΑΝΝΑΡΗ	0087a	0	0	unseen	medium
ΠΑΝΤΑΞΕΛΟΥ	ΠΑΝΤΑΖΕΛΟΥ	0172a	0	0	unseen	medium
ΒΕΡΤΑΔΟΥ	ΒΕΡΓΑΔΟΥ	0133a	0	0	unseen	medium
ΤΕΙΧΛΗ	ΤΣΙΧΛΗ	0137a	0	0	unseen	medium
ΒΟΝΤΟΣ	ΒΟΝΙΟΣ	0162a	0	0	unseen	medium
ΓΚΟΥΣΟΥΛΗ	ΓΚΟΥΖΟΥΛΗ	0022a,0051a	0	0	unseen	medium
ΠΑΡΑΣΚΗ	ΠΑΡΑΣΧΗ	0109a	0	0	unseen	medium
ΡΑΣΙΙΑΣ	ΡΑΣΤΙΑΣ	0148a	0	0	unseen	medium
ΑΔΟΥΠΗΣ	ΑΛΟΥΠΗΣ	0012b	0	0	unseen	medium
ΜΙΧΑΛΕΠΟΥΛΟΣ	ΜΙΧΑΛΟΠΟΥΛΟΣ	0016b	0	0	unseen	medium
ΔΟΓΓΑΝΙΚΟΣ	ΛΟΓΓΑΝΙΚΟΣ	0144a	0	0	unseen	medium
ΛΟΓΤΑΝΙΚΟΣ	ΛΟΓΓΑΝΙΚΟΣ	0078a	0	0	unseen	medium
ΠΑΠΑΒΑΝΑΣΟΠΟΥΛΟΥ	ΠΑΠΑΘΑΝΑΣΟΠΟΥΛΟΥ	0119a	0	0	unseen	medium
ΒΥΝΚΟΥ	ΒΥΝΙΟΥ	0126a	0	0	unseen	medium
ΔΟΓΓΑΝΙΚΟ	ΛΟΓΓΑΝΙΚΟ	0020b	0	0	unseen	medium
ΣΚΡΟΥΜΠΟΛΟΥ	ΣΚΡΟΥΜΠΕΛΟΥ	0062a	0	0	unseen	medium
ΒΟΝΤΟΥ	ΒΟΝΙΟΥ	0113a	0	0	unseen	medium
ΑΠΟΘΑΝΕ	ΑΠΕΘΑΝΕ	0127a	1	0	suspect	medium
ΣΚΡΟΥΜΠΟΛΛΟΥ	ΣΚΡΟΥΜΠΕΛΛΟΥ	0168a	0	0	unseen	medium
ΔΟΓΚΑΝΙΚΟΣ	ΛΟΓΚΑΝΙΚΟΣ	0089a	0	0	unseen	medium
ΧΑΡΙΣΙΟ	ΧΑΡΙΣΤΟ	0013a	0	0	unseen	medium
ΡΑΣΠΙΑΣ	ΡΑΣΤΙΑΣ	0055a,0137a	0	0	unseen	medium
ΛΟΓΙΑΝΙΚΟΣ	ΛΟΓΓΑΝΙΚΟΣ	0008a,0168a	0	0	unseen	medium
ΜΠΙΡΜΠΙΔΗΣ	ΜΠΙΡΜΠΙΛΗΣ	0065a	1	0	suspect	medium
ΝΤΙΜΑ	ΝΤΙΝΑ	0012b	1	0	suspect	medium
ΠΙΑΝΑΡΗ	ΓΙΑΝΑΡΗ	0065a	0	0	unseen	medium
ΠΑΝΤΟΛ	ΠΑΝΤΕΛ	0172a	0	0	unseen	medium
ΒΕΡΤΑΔΕΙΚΑ	ΒΕΡΓΑΔΕΙΚΑ	0067a	0	0	unseen	medium
ΜΑΝΙΣΤΩΤΗΣ	ΜΑΝΙΣΙΩΤΗΣ	0063a	0	0	unseen	medium
ΣΟΧΛΑ	ΣΟΥΛΑ	0002a	0	0	unseen	medium
ΤΕΟΥΜΑΝΑΣ	ΤΣΟΥΜΑΝΑΣ	0077a	0	0	unseen	medium
ΜΠΟΛΚΑΣ	ΜΠΕΛΚΑΣ	0009a,0032b	1	0	suspect	medium
ΜΠΕΛΙΑ	ΜΠΕΛΚΑ	0078a,0172a	1	0	suspect	medium
ΛΟΓΙΑΝΙΚΟΣ	ΛΟΓΚΑΝΙΚΟΣ	0008a,0168a	0	0	unseen	medium
ΛΟΓΧΑΝΙΚΟΥ	ΛΟΓΚΑΝΙΚΟΥ	0027b	0	0	unseen	medium
ΠΑΝΤΑΞΟΠΟΥΛΟΣ	ΠΑΝΤΑΖΟΠΟΥΛΟΣ	0010b	0	0	unseen	medium
ΠΑΠΑΘΑΝΑΣΟΠΟΥΛΕ	ΠΑΠΑΘΑΝΑΣΟΠΟΥΛΟ	0149a	0	0	unseen	medium
ΑΟΓΓΑΝΙΚΟΣ	ΛΟΓΓΑΝΙΚΟΣ	0122a,0146a,0172a	0	0	unseen	medium
ΑΓΟΡΑΝΗ	ΑΓΕΡΑΝΗ	0019a	0	0	unseen	medium
ΚΑΡΑΛΟΜΑ	ΚΑΡΑΛΕΜΑ	0069a	0	0	unseen	medium
ΚΑΡΑΛΕΝΑ	ΚΑΡΑΛΕΜΑ	0098a	0	0	unseen	medium
ΚΟΤΣΟΘΟΛΟΣ	ΚΟΤΣΟΒΟΛΟΣ	0042b	0	0	unseen	medium
ΡΟΜΑΤΟΥ	ΓΟΜΑΤΟΥ	0132a	0	0	unseen	medium
ΚΟΘΙΑΣ	ΚΟΦΙΑΣ	0062a	0	0	unseen	medium
ΠΕΡΙΛΗΣ	ΠΕΡΙΔΗΣ	0049b	0	0	unseen	medium
ΒΑΣΙΑ	ΡΑΣΙΑ	0052a	0	0	unseen	medium
ΠΑΠΑΘΕΟΦΙΔΟΠΟΥΛΟΣ	ΠΑΠΑΘΕΟΦΙΛΟΠΟΥΛΟΣ	0055a	0	0	unseen	medium
ΘΕΟΦΙΛΕΠΟΥΛΟΥ	ΘΕΟΦΙΛΟΠΟΥΛΟΥ	0046a	0	0	unseen	medium
ΛΕΓΚΑΝΙΚΟ	ΛΟΓΚΑΝΙΚΟ	0026a,0105a	0	0	unseen	medium
ΠΑΡΑΣΧΕΠΟΥΛΟΣ	ΠΑΡΑΣΧΟΠΟΥΛΟΣ	0174a	0	0	unseen	medium
ΑΛΕΥΣΗΣ	ΑΛΟΥΣΗΣ	0179a	0	0	unseen	medium
ΚΟΤΣΗΣ	ΚΟΡΣΗΣ	0023a	0	0	unseen	medium
ΜΠΕΛΑΝΝΗ	ΜΠΟΛΑΝΝΗ	0024a	0	0	unseen	medium
ΠΕΛΛΟ	ΠΟΛΛΟ	0042a	0	0	unseen	medium
ΣΚΡΟΥΜΤΕΛΛΟΣ	ΣΚΡΟΥΜΠΕΛΛΟΣ	0060a	0	0	unseen	medium
ΜΕΡΡΗ	ΜΟΡΡΗ	0020a	0	0	unseen	medium
ΕΛΑΧΙΩΤΗ	ΒΛΑΧΙΩΤΗ	0078a	0	0	unseen	medium
ΕΚΕΔΟΥΘΗ	ΕΚΕΔΕΥΘΗ	0062a	0	0	unseen	medium
ΒΟΝΙΟΠΟΥΛΟΥ	ΒΕΝΙΟΠΟΥΛΟΥ	0069a	0	0	unseen	medium
ΚΕΤΡΩΝΙΑ	ΚΟΤΡΩΝΙΑ	0130a	0	0	unseen	medium
ΥΓΕΙΟΥ	ΥΓΕΤΟΥ	0043b,0056b	0	0	unseen	medium
ΡΑΣΠΙΑ	ΡΑΣΤΙΑ	0055a	0	0	unseen	medium
ΟΔΟΥΚΑ	ΟΔΟΥΧΑ	0007b	0	0	unseen	medium
ΛΑΚΟΥΡΤΟΥ	ΛΑΚΟΥΡΓΟΥ	0118a	0	0	unseen	medium
ΚΑΡΑΛΑ	ΚΑΡΑΔΑ	0004a	0	0	unseen	medium
ΣΠΑΡΑΓΤΗΣ	ΣΠΑΡΑΓΓΗΣ	0132a	0	0	unseen	medium
ΞΙΑΡΧΟΣ	ΣΙΑΡΧΟΣ	0121a	1	0	suspect	medium
ΔΑΚΩΝΑΣ	ΛΑΚΩΝΑΣ	0015b	0	0	unseen	medium
ΠΕΤΟΥΛΑΣ	ΠΟΤΟΥΛΑΣ	0022a	0	0	unseen	medium
ΤΟΥΡΖ	ΤΟΥΡΣ	0103a	0	0	unseen	medium
ΤΟΥΡΞ	ΤΟΥΡΣ	0101a	0	0	unseen	medium
ΜΙΧΑΛΕΧΡΗΣ	ΜΙΧΑΛΟΧΡΗΣ	0028a	0	0	unseen	medium
ΓΕΡΟΝ	ΓΕΓΟΝ		0	0	unseen	medium
ΛΟΓΙΑΝΙΚΟ	ΛΟΓΚΑΝΙΚΟ	0081a,0110a	0	0	unseen	medium
ΛΟΓΙΑΝΙΚΟΥ	ΛΟΓΚΑΝΙΚΟΥ	0110a	0	0	unseen	medium
ΓΑΣΙΑ	ΡΑΣΙΑ		0	0	unseen	medium
ΡΙΣΜΕΝΟΣ	ΡΙΣΜΕΝΕΣ	0130a	0	0	unseen	medium
ΤΣΕΡΜΤΑΣ	ΤΣΕΡΜΠΑΣ	0177a	0	0	unseen	medium
ΞΕΡΟΥΜΠΕΛΟΥ	ΣΕΡΟΥΜΠΕΛΟΥ	0006a	0	0	unseen	medium
ΚΟΒΙΑΣ	ΚΟΡΙΑΣ	0132a	0	0	unseen	medium
ΚΕΡΙΑΣ	ΚΟΡΙΑΣ	0019a	0	0	unseen	medium
ΣΩΤΕΡΙΚΟ	ΞΩΤΕΡΙΚΟ	0086a	2	0	suspect	medium
ΒΕΡΔΟΝΙΑΣ	ΒΟΡΔΟΝΙΑΣ	0026b	0	0	unseen	medium
ΓΚΟΥΣΟΥΔΗΣ	ΓΚΟΥΣΟΥΛΗΣ	0031b	0	0	unseen	medium
ΛΑΚΚΟΥΛΕΣ	ΛΑΚΚΟΥΔΕΣ	0130a	0	0	unseen	medium
ΓΚΟΡΤΖΟΛΟΓΟΥ	ΓΚΟΡΤΣΟΛΟΓΟΥ	0144a	0	0	unseen	medium
ΝΙΣΑΜΗΣ	ΝΙΖΑΜΗΣ	0049b	0	0	unseen	medium
ΠΑΠΡΟΠΟΥΛΟΥ	ΠΑΤΡΟΠΟΥΛΟΥ	0052a	0	0	unseen	medium
ΑΛΟΥΤΗΣ	ΑΛΕΥΤΗΣ	0053a	0	0	unseen	medium
ΛΕΓΓΑΝΙΚΟ	ΛΟΓΓΑΝΙΚΟ	0026a,0099a	0	0	unseen	medium
ΑΟΥΤΡΑΚΙΟΥ	ΛΟΥΤΡΑΚΙΟΥ		0	0	unseen	medium
ΠΑΡΑΣΚΟΠΟΥΛΟΣ	ΠΑΡΑΣΧΟΠΟΥΛΟΣ	0065a,0067a	0	0	unseen	medium
ΣΙΑΒΡΑ	ΖΙΑΒΡΑ	0098a	0	0	unseen	medium
ΒΕΡΤΑΔΟΣ	ΒΕΡΓΑΔΟΣ	0133a	0	0	unseen	medium
ΜΙΧΑΛΑΚΟΥ	ΜΙΧΑΛΑΧΟΥ	0009a	0	0	unseen	medium
ΑΟΓΙΑΝΙΚΟΣ	ΑΟΓΓΑΝΙΚΟΣ	0017b	0	0	unseen	medium
ΦΗΜΕΡΙΔΕΣ	ΦΗΜΕΡΙΔΟΣ	0018b	0	0	unseen	medium
ΝΙΚΟΔΟΠΟΥΛΟΣ	ΝΙΚΟΛΟΠΟΥΛΟΣ	0174a	0	0	unseen	medium
ΣΕΝΙΑ	ΣΟΝΙΑ	0034a	0	0	unseen	medium
ΠΑΓΚΟΠΟΥΛΟΣ	ΠΑΙΚΟΠΟΥΛΟΣ	0049a	0	0	unseen	medium
ΔΕΔΟΥΡΗ	ΔΕΔΟΥΤΗ	0148a	0	0	unseen	medium
ΠΑΛΙΚΑ	ΤΑΛΙΚΑ	0065a	0	0	unseen	medium
ΕΝΓΕΙ	ΕΥΓΕΙ	0067a	0	0	unseen	medium
ΕΥΡΕΙ	ΕΥΓΕΙ	0087a	0	0	unseen	medium
ΣΤΑΡΑΓΗΣ	ΣΠΑΡΑΓΗΣ	0129a	0	0	unseen	medium
ΔΟΓΓΑΝΙΚΟΣ	ΑΟΓΓΑΝΙΚΟΣ	0144a	0	0	unseen	medium
